id_aluno,nome,sobrenome,data_nascimento,idade,trabalha,tipo_escola,semestre_atual,turno,id_curso
1,Ana,Nascimento,1990-04-11,36,1,Particular,2,Manha,6
2,Julia,Souza,2003-04-08,23,1,Particular,5,Manha,2
3,Rafael,Pereira,1993-04-10,33,1,Publica,3,Noite,1
4,Lucas,Costa,1989-04-11,37,0,Particular,2,Noite,4
5,Mariana,Rodrigues,2005-04-07,21,1,Particular,1,Manha,1
6,Beatriz,Santos,2001-04-08,25,1,Publica,4,Manha,5
7,Fernanda,Santos,1994-04-10,32,0,Publica,1,Noite,2
8,Mariana,Rodrigues,1990-04-11,36,0,Publica,7,Manha,4
9,Fernanda,Rodrigues,1988-04-11,38,0,Particular,5,Manha,2
10,Rafael,Silva,1986-04-12,40,0,Particular,7,Tarde,3
11,Lucas,Rodrigues,1990-04-11,36,1,Particular,3,Manha,3
12,Fernanda,Oliveira,1999-04-09,27,1,Publica,2,Manha,4
13,Gabriel,Pereira,1992-04-10,34,0,Publica,2,Tarde,3
14,Rafael,Rodrigues,2008-04-06,18,1,Publica,5,Manha,6
15,Beatriz,Souza,2001-04-08,25,0,Particular,8,Noite,1
16,Carlos,Pereira,1996-04-09,30,0,Publica,7,Manha,5
17,Fernanda,Silva,1994-04-10,32,1,Particular,5,Noite,5
18,Gabriel,Almeida,2007-04-07,19,0,Particular,6,Noite,2
19,Carlos,Oliveira,2001-04-08,25,0,Publica,2,Manha,6
20,Beatriz,Lima,2006-04-07,20,1,Publica,4,Tarde,1
21,Pedro,Santos,1986-04-12,40,1,Particular,4,Manha,4
22,Carlos,Santos,2002-04-08,24,1,Publica,5,Tarde,6
23,Fernanda,Pereira,1992-04-10,34,0,Publica,6,Manha,3
24,Ana,Costa,1993-04-10,33,1,Publica,6,Manha,6
25,Fernanda,Nascimento,2000-04-08,26,0,Publica,5,Noite,6
26,Lucas,Pereira,1998-04-09,28,0,Particular,2,Noite,6
27,Fernanda,Almeida,1997-04-09,29,1,Publica,3,Noite,6
28,Beatriz,Oliveira,1988-04-11,38,0,Particular,4,Manha,4
29,Ana,Souza,1987-04-12,39,1,Particular,7,Tarde,6
30,Fernanda,Nascimento,1990-04-11,36,0,Particular,4,Noite,3
31,Gabriel,Pereira,1998-04-09,28,0,Publica,1,Manha,1
32,Larissa,Rodrigues,1982-04-19,43,1,Publica,8,Tarde,6
33,Mariana,Rodrigues,1984-04-24,41,1,Particular,7,Tarde,2
34,Rodrigo,Almeida,1982-01-28,43,0,Publica,3,Noite,4
35,Felipe,Oliveira,1999-08-17,26,1,Publica,2,Noite,5
36,Camila,Souza,1989-07-06,36,1,Publica,5,Noite,2
37,Pedro,Lima,1999-04-05,26,1,Publica,1,Noite,3
38,Ana,Souza,1991-05-08,34,0,Publica,2,Manha,6
39,Julia,Lima,2004-03-05,21,1,Publica,5,Noite,5
40,Beatriz,Lima,2004-12-23,21,0,Particular,7,Noite,6
41,Patrícia,Lima,1994-02-08,31,0,Publica,6,Manha,5
42,Eduardo,Costa,1980-02-23,45,0,Publica,2,Manha,3
43,Rodrigo,Costa,1988-11-16,37,0,Publica,8,Manha,4
44,Beatriz,Souza,1983-11-14,42,1,Particular,7,Tarde,6
45,Lucas,Silva,1992-12-11,33,0,Publica,4,Manha,5
46,Mariana,Oliveira,1985-05-15,40,0,Publica,8,Noite,1
47,Rodrigo,Silva,1982-04-06,43,1,Particular,8,Manha,4
48,Gabriel,Oliveira,1980-07-09,45,1,Particular,7,Noite,6
49,Mariana,Costa,1989-04-02,36,0,Particular,1,Manha,5
50,Vanessa,Lima,1985-01-17,40,0,Publica,2,Noite,1
51,Felipe,Souza,1998-04-19,27,0,Publica,7,Noite,5
52,Fernanda,Costa,2001-12-11,24,0,Particular,7,Manha,6
53,Patrícia,Santos,2004-02-01,21,1,Publica,2,Noite,2
54,Mariana,Santos,1982-04-12,43,1,Publica,8,Noite,6
55,Renata,Lima,1980-11-27,45,1,Publica,3,Tarde,1
56,Rodrigo,Pereira,1988-05-20,37,0,Particular,4,Noite,6
57,Vanessa,Almeida,1988-01-03,37,1,Particular,1,Manha,3
58,Pedro,Pereira,2003-08-18,22,1,Publica,2,Manha,6
59,Rodrigo,Silva,2006-06-19,19,0,Particular,3,Manha,3
60,Ana,Santos,1986-11-08,39,0,Particular,7,Noite,6
61,Carlos,Pereira,2005-03-14,20,0,Publica,6,Tarde,6
62,Pedro,Pereira,2005-12-04,20,1,Publica,8,Manha,2
63,Camila,Rodrigues,2006-04-08,19,0,Publica,7,Tarde,3
64,Pedro,Santos,2000-09-13,25,1,Publica,2,Tarde,2
65,Ana,Souza,1999-07-12,26,1,Particular,2,Tarde,5
66,Pedro,Silva,2002-07-01,23,0,Particular,7,Manha,6
67,Renata,Santos,2001-02-24,24,1,Particular,7,Tarde,4
68,Vanessa,Pereira,1986-07-22,39,1,Publica,5,Tarde,5
69,Pedro,Rodrigues,1986-07-26,39,1,Particular,8,Tarde,6
70,Rodrigo,Almeida,2005-12-06,20,0,Particular,6,Manha,2
71,Beatriz,Costa,1984-01-02,41,0,Particular,2,Tarde,4
72,Felipe,Almeida,1992-04-05,33,0,Publica,7,Manha,2
73,Ana,Lima,1987-02-15,38,0,Particular,6,Tarde,5
74,Vanessa,Almeida,1985-12-28,40,1,Particular,5,Manha,6
75,Vanessa,Almeida,2000-04-09,25,1,Publica,5,Manha,3
76,Camila,Lima,1982-03-05,43,0,Particular,3,Noite,2
77,Felipe,Oliveira,1990-09-15,35,1,Publica,4,Tarde,4
78,Eduardo,Oliveira,1995-01-12,30,1,Particular,7,Noite,6
